station,category,split,start_date,end_date,status,flags,has_s2,has_s1_asc,has_s1_desc,has_cm,has_dem,has_lulc,has_soil,has_era5,has_sif,has_twsa,has_labels_sm,has_labels_le,n_s2_dates,n_cm_dates,n_s2_missing_cm,cm_coverage_pct,s2_missing_years,s1_asc_missing_years,s1_desc_missing_years,cm_missing_years,satellite_missing_years,era5_missing_years,labels_sm_missing_years,labels_le_missing_years,sif_missing_years,twsa_missing_years,has_raw_satzarr,n_s2_raw,s2_token_minus_raw,s2_raw_minus_token,n_s1_asc_raw,s1_asc_token_minus_raw,s1_asc_raw_minus_token,n_s1_desc_raw,s1_desc_token_minus_raw,s1_desc_raw_minus_token,has_raw_dem,has_raw_lulc,dem_nan,lulc_nan,soil_nan_pct,era5_nan,sif_nan,twsa_nan,labels_sm_nan,labels_le_nan_frac,sm_continuous_years,le_continuous_years,lt_3yr_labels
ISMN_SCAN_ReynoldsHomestead,sm_only,train,20211120,20251230,OK,"INFO_s2_missing_years(2021,2022)|INFO_cm_missing_years(2021,2022)|INFO_twsa_missing_years(2025)",True,True,False,True,True,True,True,True,True,True,True,False,78,78,0,100.0,"2021,2022",,,"2021,2022",,,,,,2025,True,78,0,0,225.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_RiverRoadFarms,sm_only,train,20160101,20190827,OK,"INFO_s2_missing_years(2016,2017)|INFO_s1_desc_missing_years(2019)|INFO_cm_missing_years(2016,2017)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,True,True,False,55,55,0,100.0,"2016,2017",,2019,"2016,2017",,,,,"2016,2017",,True,55,0,0,167.0,0.0,0.0,4.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,4.0,,False
ISMN_SCAN_RockSpringsPa,sm_only,train,20170101,20251230,OK,INFO_sif_missing_years(2017)|INFO_twsa_missing_years(2025)|INFO_soil_nan_pct(0.2%),True,True,False,True,True,True,True,True,True,True,True,False,158,158,0,100.0,,,,,,,,,2017,2025,True,158,0,0,235.0,0.0,0.0,,,,True,True,False,False,0.0018,False,False,False,False,,9.0,,False
ISMN_SCAN_RogersFarm#1,sm_only,val,20160101,20210121,OK,"INFO_sif_missing_years(2016,2017)",True,True,False,True,True,True,True,True,True,True,True,False,232,232,0,100.0,,,,,,,,,"2016,2017",,True,232,0,0,118.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,6.0,,False
ISMN_SCAN_SanAngelo,sm_only,train,20160101,20220324,OK,"INFO_s1_desc_missing_years(2016,2017,2018,2019,2020,2021)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,True,True,False,191,191,0,100.0,,,"2016,2017,2018,2019,2020,2021",,,,,,"2016,2017",,True,191,0,0,148.0,0.0,0.0,3.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,7.0,,False
ISMN_SCAN_SandyRidge,sm_only,train,20160101,20251230,OK,"INFO_s1_desc_missing_years(2018,2019,2021,2022,2023,2024,2025)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)|INFO_soil_nan_pct(0.0%)",True,True,True,True,True,True,True,True,True,True,True,False,267,267,0,100.0,,,"2018,2019,2021,2022,2023,2024,2025",,,,,,"2016,2017",2025,True,267,0,0,249.0,0.0,0.0,8.0,0.0,0.0,True,True,False,False,0.0002,False,False,False,False,,10.0,,False
ISMN_SCAN_Scott,sm_only,train,20210824,20251230,OK,INFO_twsa_missing_years(2025),True,True,False,True,True,True,True,True,True,True,True,False,141,141,0,100.0,,,,,,,,,,2025,True,141,0,0,105.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_SellersLake#1,sm_only,train,20160101,20220224,OK,"INFO_s1_desc_missing_years(2021,2022)|INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(5.0%)",True,True,True,True,True,True,True,True,True,True,True,False,120,120,0,100.0,,,"2021,2022",,,,,,"2016,2017",,True,120,0,0,149.0,0.0,0.0,7.0,0.0,0.0,True,True,False,False,0.0495,False,False,False,False,,7.0,,False
ISMN_SCAN_Selma,sm_only,train,20160822,20231020,OK,"INFO_no_twsa|INFO_s1_desc_missing_years(2016,2018,2019,2021,2022,2023)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,False,True,False,393,393,0,100.0,,,"2016,2018,2019,2021,2022,2023",,,,,,"2016,2017",,True,393,0,0,191.0,0.0,0.0,2.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,8.0,,False
ISMN_SCAN_Sevilleta,sm_only,train,20180418,20210818,OK,,True,True,True,True,True,True,True,True,True,True,True,False,316,316,0,100.0,,,,,,,,,,,True,316,0,0,98.0,0.0,0.0,198.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,4.0,,False
